1990-1-A											
4	7	7	6	7	7	6	7	9			
4	7	9	7	9	7	7	7	9			
6	7	9	7	9	7	7	7	9			
4	4	9	6	6	7	7	7	9			
4	6	9	4	7	7	6	7	9			
4	6	9	7	9	7	7	9	9			
4	7	9	7	9	9	7	6	7			
4	7	10	7	9	6	6	6	10			
4	7	9	7	9	6	9	7	7			
6	7	10	7	9	9	9	7	7			
6	7	10	7	9	9	7	9	10			
3.6	4.4	5.1	4.4	4.9	4.6	4.4	4.5	4.9			
											
1990-F-A											
7	4	7	4	7	9	7	4	9			
9	6	9	4	7	9	6	4	9			
7	4	9	4	7	9	6	6	9			
6	4	7	4	7	9	7	6	7			
7	4	9	4	7	9	9	6	7			
7	4	10	4	4	7	9	4	7			
6	6	9	6	4	9	6	6	7			
4.4	3.6	4.9	3.5	4.3	5	4.3	3.8	4.7			
											
1993-1-A											
7	6	6	6	4	7	2	9	6			
3	5	5	5	4	6	2	10	6			
6	6	6	6	4	6	2	7	6			
7	6	7	7	7	7	3	5	7			
6	7	5	6	5	7	3	9	6			
6	7	5	6	5	7	3	5	9			
6	7	7	6	5	9	2	7	7			
6.2	6.4	5.8	6	4.6	6.8	2.4	7.4	6.4			
											
1993-2-A											
7	6	7	5	6	5	6	4	6			
7	6	7	6	7	6	4	6	6			
6	7	5	4	6	6	4	8	6			
8	7	7	5	5	9	3	6	5			
7	7	4	5	6	9	3	5	4			
5	6	6	6	6	6	4	3	3			
7	6	6	6	6	6	5	5	5			
6.8	6.4	6.2	5.4	6	6.6	4	5.2	5.2			
											
1993-2-B											
6	7	9	5	6	6	10	8	7			
8	5	7	8	9	8	10	9	7			
9	6	6	8	5	7	9	8	6			
7	7	6	3	6	9	8	6	8			
6	6	7	9	7	6	9	9	8			
5	6	6	9	8	9	8	7	7			
6	6	8	7	8	7	10	10	7			
6.6	6.2	6.8	7.4	7	7.4	9.2	8.2	7.2			
											
1993-3-A											
7	6	9	5	5	5	6	6	5			
5	6	6	4	6	7	6	7	6			
5	6	9	5	7	7	8	7	6			
6	6	6	4	4	7	5	6	7			
6	3	4	3	4	6	4	6	7			
5	5	4	2	4	4	6	5	5			
9	6	7	5	5	6	6	6	7			
5.8	5.8	6.4	4.2	4.8	6.2	5.8	6.2	6.2			
											
1993-3-C											
3	9	6	4	9	6	9	6	10			
5	6	6	4	9	6	9	7	9			
6	9	6	2	9	9	9	7	6			
4	9	6	3	9	6	8	8	6			
6	9	6	4	6	7	6	6	9			
4	7	6	5	9	7	9	6	7			
6	6	6	3	9	6	8	9	9			
5	8	6	3.6	9	6.4	8.6	6.8	8			
											
1993-4-A											
6	6	9	7	8	8	4	8	8			
9	8	9	7	8	8	5	7	7			
6	7	7	7	7	4	3	4	8			
7	8	9	5	6	5	4	5	7			
6	6	9	6	8	9	4	7	6			
7	6	9	7	9	7	5	7	7			
7	7	9	6.8	8	7.4	4.4	6.8	7.4			
											
1993-4-C											
8	6	6	8	6	6	6	6	7			
6	6	7	7	6	6	8	9	9			
8	5	7	7	8	9	6	9	8			
9	8	9	7	7	9	3	6	9			
9	6	3	6	6	7	7	6	3			
5	3	3	6	6	7	10	6	5			
9	7	6	6	6	7	6	9	6			
8	6	5.8	6.6	6.2	7.2	6.6	7.2	7			
											
1993-S-A											
6	9	8	6	9	6	6	9	9			
6	6	7	4	7	10	7	9	6			
4	7	7	6	7	9	7	7	7			
6	7	7	3	7	9	5	7	7			
6	9	7	6	6	9	6	10	9			
3	9	9	6	9	9	6	7	9			
5.6	8.2	7.6	5.6	7.8	9.2	6.4	8.4	8.2			
											
1996-2-D											
9	8	9	6	7	7	10	5	7	6	7	5
7	2	7	8	10	8	10	5	7	7	6	7
7	5	7	7	9	7	9	7	4	5	9	7
7	9	9	8	7	9	8	7	6	7	6	6
5	9	9	5	7	9	10	7	6	7	7	6
7	10	9	9	7	9	9	7	6	6	7	7
44.4	47.4	48.6	45.4	46.4	48	51.2	41.8	41.2	41.8	43.8	42
											
1997-1-A											
7	8	9	9	9	9	8	9	9			
7	6	4	9	7	9	9	9	8			
6	7	7	9	5	9	9	9	9			
7	7	6	9	7	7	7	9	9			
7	6	6	9	9	9	9	9	7			
7	8	6	9	9	9	8	7	7			
43	44	42	50	47.2	50	48.8	50	48			
											
1997-S-A											
6	9	9	7	10	7	6	9	8			
6	7	8	7	10	7	5	9	8			
7	8	8	7	10	7	7	9	9			
7	9	8	7	10	7	6	9	7			
8	7	8	8	9	6	7	9	7			
8	7	8	7	10	5	8	8	8			
8	9	8	9	8	7	8	8	7			
44	46.6	47	43.8	52.4	42.4	42.6	49.4	45.4			
											
1998-1-C											
8	7	7	6	7	7	6	7	7			
6	7	7	5	6	8	7	7	8			
7	9	8	6	6	7	6	7	9			
6	7	7	6	8	6	7	7	8			
8	8	7	5	6	6	6	8	9			
44.25	45.75	44	39.25	42.5	43.25	41.5	44	48.5			
											
1998-2-D											
7	6	5	9	8	7	8	8	7			
8	8	6	6	8	8	7	9	7			
7	9	9	7	7	7	6	7	9			
7	7	9	5	7	9	6	6	7			
6	6	8	3	5	6	6	6	6			
44	45	46.75	42.5	45	45.75	42.5	45	44.75			
											
1998-3-E											
8	7	7	6	5	6	5	7	5			
9	7	10	6	5	6	5	7	6			
7	6	7	7	6	6	6	6	6			
5	6	5	8	6	6	6	9	6			
6	8	7	6	5	7	4	7	5			
45	43.25	45.5	42.5	38.5	40.75	38.5	44.75	39.25			
											
2000-F-A											
9	9	9	8	8	8	10	10	9			
9	9	9	10	7	9	7	9	9			
8	9	8	9	9	10	10	9	9			
10	8	9	8	9	9	9	8	8			
7	9	8	6	9	9	9	8	9			
9	9	9	8	8	10	8	9	10			
9	7	8	7	8	9	10	9	7			
7	8	7	10	8	7	9	9	9			
8	8	8	7	9	9	8	9	9			
9	8	7	7	8	9	8	9	8			
9	7	8	9	8	8	10	9	9			
48.56	47.89	47.55	47	48	49.67	50	49.67	49.33			
											
2001-1-B											
7	8	8	8	9	8	8	7	8			
7	7	9	6	7	7	8	7	8			
8	8	8	7	8	9	7	7	7			
6	5	7	4	8	8	7	8	7			
7	7	7	6	7	7	6	7	7			
6	6	7	7	8	9	7	6	7			
7	7.2	7.8	6.8	8	8.2	7.4	7.2	7.4			
											
2001-1-F											
7	8	8	8	8	8	9	7	8			
5	7	7	7	5	6	8	6	6			
7	9	9	7	8	9	9	6	7			
6	6	6	7	8	7	8	6	7			
5	6	6	6	7	7	7	5	7			
6	7	8	7	7	7	8	7	6			
6.2	7.4	7.6	7.2	7.6	7.6	8.4	6.4	7			
											
2001-2-E											
5	6	7	5	8	6	6	7	9			
7	7	8	8	7	7	6	7	8			
4	6	6	8	5	5	6	6	6			
6	6	7	5	6	5	6	6	6			
6	7	8	6	8	6	7	6	8			
7	8	8	5	7	5	6	6	6			
6.2	6.8	7.6	6.4	7.2	5.8	6.2	6.4	7.4			
											
2001-F-A											
9	8	9	9	9	9	9	8	8			
7	9	9	10	8	9	8	8	9			
9	10	9	8	9	7	8	9	9			
9	8	9	8	9	8	10	9	7			
8	8	9	9	8	7	7	8	9			
8	8	8	10	7	7	7	8	8			
7	7	8	9	6	7	8	8	8			
7	8	8	8	7	7	8	8	9			
7	7	7	9	6	7	8	8	10			
7	6	7	9	8	7	7	7	7			
7.75	7.88	8.38	8.88	7.75	7.38	7.88	8.13	8.38			
											
2002-1-B											
8	8	8	7	7	9	7	8	7	10	8	8
8	6	8	5	5	8	7	7	7	8	8	8
8	6	8	6	5	8	7	8	6	8	8	7
6	7	6	5	6	8	8	8	7	7	9	8
7	8	8	8	6	9	6	7	7	8	7	8
7	7	8	6	6	9	5	8	8	8	7	8
7	5	7	6	5	7	7	7	8	8	7	8
7.4	6.8	7.8	6	5.6	8.4	6.8	15.2	7.2	8	7.6	8
											
2003-1-D											
8	7	6	5	5	6	4	7	6			
5	8	5	6	6	8	3	6	7			
6	7	6	6	8	6	4	6	6			
8	6	6	5	5	7	4	7	5			
6	7	6	6	5	7	3	8	6			
7	6	8	5	6	7	3	7	5			
7	7	6.4	5.6	6	7	3.6	7	6			
											
2003-2-A											
5	6	7	6	7	7	8	6	8	4	7	7
5	6	6	7	7	7	6	6	8	5	7	8
5	7	9	8	8	8	8	8	9	8	7	7
5	7	7	7	8	7	7	7	8	6	7	8
4	6	7	7	8	7	7	8	9	6	5	7
4	6	7	6	7	6	7	7	8	6	5	8
4.8	6.4	7.4	7	7.6	7.2	7.4	7.2	8.4	6.2	6.6	7.6
											
2003-3-B											
6	6	7	6	8	8	5	7	7	7	7	7
8	7	6	6	6	8	4	8	7	7	8	6
8	5	6	5	6	7	4	8	9	7	9	8
8	6	6	5	7	9	5	8	6	8	8	7
8	6	6	5	6	8	4	7	8	6	8	6
7	5	7	5	8	8	4	8	8	7	8	7
7.8	6	6.4	5.4	7	8.2	4.4	7.8	7.8	7.2	8.2	7
											
2003-4-F											
5	7	6	7	6	6	4	6	6			
6	6	6	7	6	6	4	7	7			
7	9	7	7	7	6	6	5	7			
5	8	6	8	7	6	7	7	7			
6	8	6	8	6	6	6	6	6			
5	8	6	8	5	4	5	5	7			
5.8	8	6.2	7.6	6.4	6	5.6	6.2	6.8			
											
2003-5-E											
7	6	8	7	8	7	8	7	6			
6	5	8	6	8	7	7	5	6			
6	6	7	5	8	8	5	5	7			
5	5	7	5	6	7	5	4	6			
5	6	8	5	7	7	5	6	7			
7	6	7	5	8	8	6	7	7			
6.2	5.8	7.6	5.6	7.8	7.4	6.2	6	6.6			
											
2003-F-A											
9	8	9	8	8	9	8	8	8			
8	8	9	9	10	9	8	8	8			
8	8	9	7	8	8	9	9	9			
8	8	9	7	8	9	9	9	8			
9	8	8	8	9	9	8	9	8			
7	7	8	8	9	9	9	8	9			
7	8	9	8	8	10	8	8	9			
9	9	8	9	9	9	9	10	9			
9	10	9	8	8	9	8	9	9			
8	9	8	8	8	8	8	9	9			
9	9	9	9	9	10	9	9	9			
8.33	8.33	8.67	8.11	8.44	9	8.44	8.67	8.67			
											
2004-1-D											
6	8	7	6	7	9	7	7	8			
6	7	7	7	6	8	7	6	7			
7	8	7	6	6	8	6	7	8			
6	7	7	7	7	8	6	7	8			
7	8	7	7	8	9	6	7	8			
7	7	6	6	6	8	7	6	8			
6.6	7.6	7	6.6	6.8	8.4	6.6	6.8	8			
											
2005-1-A											
8	7	9	6	7	8	8	7	8	6	8	7
7	6	8	6	7	7	8	8	8	7	7	6
6	5	8	6	8	7	7	6	6	6	5	6
7	6	7	5	8	8	7	6	7	6	7	7
8	5	8	5	7	8	8	7	8	6	7	7
